product_id,product_vendor,product_name,availability,size,colours,cost,category,sub_category,user_id,quantity_ordered,payment_details,delivery_address,order_status,date,month
39,1,Trousers SandyBrown,9,Large,SandyBrown,643.83,Women,Trousers,1424,4,UPI,Kerala,Returned,28,March
40,12,Ethnic Lime,97,Small,Lime,284.31,Kids,Ethnic,958,3,netbanking,Himachal Pradesh,Cancelled,13,January
41,19,T-Shirts SeaShell,20,Medium,SeaShell,482.66,Men,T-Shirts,1012,2,UPI,Andhra Pradesh,Returned,20,January
42,1,Casuals HoneyDew,25,Medium,HoneyDew,96.82,Men,Casuals,273,2,UPI,Assam,Delivered,16,January
43,7,Ethnic Blue,5,Large,Blue,900.35,Women,Ethnic,157,2,UPI,Goa,Delivered,12,June
44,19,T-Shirts DarkSlateGray,72,Medium,DarkSlateGray,156.71,Women,T-Shirts,448,1,cashondelivery,Punjab,Cancelled,1,October
45,23,Tops AliceBlue,18,Small,AliceBlue,216.17,Kids,Tops,1227,4,UPI,Haryana,Returned,2,October
46,22,Pants PeachPuff,7,Medium,PeachPuff,791.85,Women,Pants,169,1,netbanking,Sikkim,Cancelled,2,July
47,18,Saree Lavender,60,Small,Lavender,722.61,Men,Saree,1040,2,UPI,Gujarat,Cancelled,21,September
48,13,Jeans Fuchsia,100,Medium,Fuchsia,413.68,Women,Jeans,1290,2,UPI,Uttarakhand,Cancelled,18,August
49,2,Trousers DarkSeaGreen,76,Medium,DarkSeaGreen,224.51,Kids,Trousers,1012,3,cashondelivery,Kerala,Returned,29,January
50,19,Western Beige,34,Small,Beige,824.08,Women,Western,607,1,cashondelivery,Goa,Delivered,1,June
51,14,Jeans LightBlue,40,Small,LightBlue,259.28,Men,Jeans,1232,2,cashondelivery,Chhattisgarh,Returned,6,September
52,13,Trousers BlanchedAlmond,69,Medium,BlanchedAlmond,146.57,Women,Trousers,419,4,cashondelivery,Nagaland,Returned,23,February
53,27,Shirts MediumBlue,11,Medium,MediumBlue,808.82,Men,Shirts,149,1,cashondelivery,West Bengal,Cancelled,28,February
54,29,Western Aqua,27,Medium,Aqua,223.42,Kids,Western,102,3,cashondelivery,Meghalaya,Returned,9,September
55,11,Jeans LavenderBlush,75,Medium,LavenderBlush,357.98,Women,Jeans,292,1,netbanking,Haryana,Returned,10,March
56,27,Saree SteelBlue,19,Small,SteelBlue,513.72,Women,Saree,793,3,cashondelivery,Tamil Nadu,Returned,28,August
57,25,Trousers ForestGreen,87,Small,ForestGreen,502.85,Kids,Trousers,61,1,UPI,Mizoram,Delivered,16,June
58,9,T-Shirts DarkGray,88,Small,DarkGray,463.34,Kids,T-Shirts,385,1,cashondelivery,Andhra Pradesh,Delivered,12,December
59,4,Pants DarkSalmon,93,Small,DarkSalmon,233.31,Women,Pants,223,1,cashondelivery,Telangana,Delivered,25,January
60,24,T-Shirts SaddleBrown,56,Small,SaddleBrown,164.0,Kids,T-Shirts,263,4,UPI,Odisha,Returned,6,November
61,18,Trousers AntiqueWhite,13,Medium,AntiqueWhite,812.55,Men,Trousers,1165,2,cashondelivery,Telangana,Cancelled,11,March
62,24,Pants Aquamarine,95,Large,Aquamarine,179.05,Kids,Pants,1195,4,cashondelivery,Assam,Delivered,26,February
63,9,Jeans Maroon,10,Medium,Maroon,825.8,Kids,Jeans,45,3,netbanking,Jharkhand,Returned,17,December
64,2,Tops DarkOrchid,59,Small,DarkOrchid,821.17,Women,Tops,408,2,UPI,Madhya Pradesh,Delivered,1,August
65,15,Casuals DodgerBlue,42,Large,DodgerBlue,742.69,Men,Casuals,1203,2,netbanking,Jharkhand,Returned,22,November
66,30,Shirts Tan,68,Medium,Tan,35.81,Men,Shirts,541,2,netbanking,Meghalaya,Cancelled,4,August
67,26,Trousers SkyBlue,35,Small,SkyBlue,282.23,Women,Trousers,702,3,cashondelivery,Uttarakhand,Cancelled,30,December
68,2,Ethnic DarkRed,87,Small,DarkRed,358.42,Women,Ethnic,224,1,UPI,Karnataka,Cancelled,14,October
69,25,Formals Moccasin,64,Large,Moccasin,987.55,Men,Formals,929,2,cashondelivery,Jharkhand,Cancelled,12,May
70,30,Tops LightYellow,82,Medium,LightYellow,689.64,Women,Tops,417,2,cashondelivery,Telangana,Delivered,26,August
71,22,Tops LightSalmon,8,Medium,LightSalmon,808.92,Women,Tops,1233,4,UPI,Rajasthan,Delivered,4,May
72,25,T-Shirts FireBrick,9,Medium,FireBrick,77.15,Women,T-Shirts,749,3,UPI,Uttarakhand,Returned,15,April
73,8,T-Shirts Teal,72,Small,Teal,520.88,Men,T-Shirts,422,2,cashondelivery,Tamil Nadu,Delivered,4,June
74,20,Ethnic Blue,63,Small,Blue,22.72,Men,Ethnic,1021,4,netbanking,Odisha,Cancelled,24,August
75,8,Casuals DarkSeaGreen,5,Small,DarkSeaGreen,391.0,Men,Casuals,411,1,netbanking,Gujarat,Delivered,20,May
76,8,T-Shirts Lime,92,Medium,Lime,928.73,Kids,T-Shirts,1185,4,netbanking,Gujarat,Delivered,8,February
77,14,T-Shirts LavenderBlush,67,Small,LavenderBlush,22.74,Women,T-Shirts,463,4,UPI,Nagaland,Delivered,16,May
78,5,Jeans DarkOliveGreen,13,Small,DarkOliveGreen,50.27,Women,Jeans,612,1,UPI,Rajasthan,Returned,27,August
79,22,Trousers SlateBlue,84,Small,SlateBlue,901.64,Women,Trousers,274,2,cashondelivery,Rajasthan,Cancelled,4,November
80,9,Casuals DeepPink,71,Large,DeepPink,664.06,Men,Casuals,80,4,cashondelivery,Manipur,Returned,14,March
81,24,Western DarkCyan,75,Medium,DarkCyan,582.6,Kids,Western,1263,4,netbanking,Kerala,Delivered,16,January
82,24,Jeans IndianRed,96,Large,IndianRed,119.57,Women,Jeans,967,3,UPI,Kerala,Cancelled,2,December
83,1,Formals MediumAquaMarine,33,Large,MediumAquaMarine,159.03,Kids,Formals,865,1,netbanking,Tripura,Delivered,17,September
84,20,Ethnic BlanchedAlmond,100,Medium,BlanchedAlmond,880.66,Kids,Ethnic,452,4,cashondelivery,Jharkhand,Returned,6,February
85,17,Saree Turquoise,50,Small,Turquoise,384.24,Kids,Saree,588,1,cashondelivery,Chhattisgarh,Delivered,12,March
86,15,T-Shirts BurlyWood,56,Large,BurlyWood,260.77,Women,T-Shirts,1078,4,UPI,Jharkhand,Cancelled,23,February
87,7,Ethnic DarkRed,39,Large,DarkRed,170.64,Kids,Ethnic,613,4,netbanking,Haryana,Delivered,25,April
88,29,Formals WhiteSmoke,43,Large,WhiteSmoke,808.85,Women,Formals,1374,1,cashondelivery,Karnataka,Delivered,22,September
89,12,Trousers Aqua,11,Medium,Aqua,793.12,Women,Trousers,1454,1,netbanking,Meghalaya,Cancelled,24,March
90,13,Tops Chocolate,74,Medium,Chocolate,209.5,Men,Tops,1076,4,cashondelivery,Madhya Pradesh,Cancelled,30,August
91,22,T-Shirts LightSalmon,55,Small,LightSalmon,218.05,Women,T-Shirts,951,2,UPI,Sikkim,Delivered,12,April
92,12,T-Shirts MediumSlateBlue,52,Large,MediumSlateBlue,31.74,Men,T-Shirts,1355,2,UPI,Gujarat,Cancelled,23,August
93,13,Western AliceBlue,52,Medium,AliceBlue,732.19,Kids,Western,397,2,cashondelivery,Tripura,Delivered,10,January
94,18,Trousers Salmon,7,Medium,Salmon,763.96,Men,Trousers,585,2,netbanking,Tamil Nadu,Returned,22,May
95,15,Shirts Orange,2,Medium,Orange,160.48,Women,Shirts,98,4,cashondelivery,Manipur,Cancelled,13,June
96,21,Western Navy,46,Small,Navy,171.92,Kids,Western,591,4,netbanking,Manipur,Returned,26,July
97,2,Pants Gainsboro,43,Large,Gainsboro,990.97,Women,Pants,1423,1,netbanking,Jharkhand,Cancelled,25,January
98,19,Shirts Maroon,66,Small,Maroon,289.1,Women,Shirts,946,2,netbanking,Tripura,Cancelled,20,November
99,8,Shirts DarkRed,60,Medium,DarkRed,709.0,Men,Shirts,172,1,netbanking,Sikkim,Delivered,30,August
100,23,Western LightBlue,75,Small,LightBlue,115.92,Men,Western,143,3,netbanking,Odisha,Cancelled,17,November
101,18,Saree FloralWhite,58,Medium,FloralWhite,848.61,Men,Saree,265,2,cashondelivery,Andhra Pradesh,Cancelled,20,April
102,14,Jeans Purple,92,Large,Purple,603.46,Kids,Jeans,1062,4,UPI,Haryana,Returned,6,June
103,20,Trousers SkyBlue,89,Small,SkyBlue,276.21,Women,Trousers,102,2,UPI,Sikkim,Cancelled,21,February
104,5,Trousers SeaShell,5,Medium,SeaShell,707.41,Kids,Trousers,84,1,cashondelivery,Kerala,Cancelled,19,September
105,24,Pants Aqua,7,Medium,Aqua,619.96,Kids,Pants,1208,3,cashondelivery,Chhattisgarh,Returned,17,April
106,23,Casuals MediumVioletRed,72,Medium,MediumVioletRed,610.95,Men,Casuals,325,3,netbanking,Uttar Pradesh,Returned,19,April
107,24,Trousers Azure,28,Medium,Azure,84.64,Men,Trousers,646,4,netbanking,Kerala,Delivered,18,January
108,30,Saree AliceBlue,63,Large,AliceBlue,352.87,Men,Saree,228,1,UPI,Odisha,Cancelled,3,July
109,24,Shirts PapayaWhip,25,Large,PapayaWhip,427.46,Kids,Shirts,301,3,netbanking,Arunachal Pradesh,Returned,7,May
110,7,Ethnic Bisque,61,Medium,Bisque,398.91,Men,Ethnic,75,1,UPI,Madhya Pradesh,Cancelled,5,February
111,28,Saree SpringGreen,87,Large,SpringGreen,337.82,Kids,Saree,77,2,cashondelivery,Meghalaya,Cancelled,27,December
112,5,Tops Salmon,52,Small,Salmon,201.26,Women,Tops,1365,4,cashondelivery,Assam,Returned,20,August
113,21,Pants MintCream,7,Medium,MintCream,386.5,Kids,Pants,799,3,netbanking,Assam,Delivered,25,July
114,16,Jeans PaleTurquoise,92,Large,PaleTurquoise,32.65,Women,Jeans,930,2,UPI,Uttar Pradesh,Returned,4,May
115,10,Shirts Turquoise,21,Large,Turquoise,177.18,Men,Shirts,1405,1,UPI,Meghalaya,Returned,26,March
116,20,Saree MediumVioletRed,82,Medium,MediumVioletRed,50.1,Kids,Saree,177,2,netbanking,Sikkim,Delivered,30,February
117,21,Trousers PaleTurquoise,71,Small,PaleTurquoise,454.92,Kids,Trousers,535,1,netbanking,Madhya Pradesh,Returned,5,October
118,28,Ethnic PeachPuff,2,Small,PeachPuff,333.16,Men,Ethnic,1444,1,netbanking,Bihar,Returned,2,July
119,6,Trousers LightSteelBlue,97,Small,LightSteelBlue,951.65,Kids,Trousers,468,3,UPI,Arunachal Pradesh,Returned,20,June
120,15,Saree PowderBlue,41,Large,PowderBlue,369.19,Men,Saree,1151,1,netbanking,Nagaland,Cancelled,17,June
121,30,Saree Pink,81,Small,Pink,423.79,Women,Saree,121,3,cashondelivery,Kerala,Returned,14,December
122,23,Tops Gainsboro,89,Small,Gainsboro,316.08,Kids,Tops,325,4,netbanking,West Bengal,Returned,19,April
123,3,Trousers OliveDrab,80,Medium,OliveDrab,686.0,Women,Trousers,866,2,UPI,Gujarat,Returned,6,March
124,5,Trousers Maroon,77,Small,Maroon,875.52,Kids,Trousers,619,4,UPI,West Bengal,Cancelled,2,September
125,24,Tops Lavender,49,Medium,Lavender,506.93,Women,Tops,55,3,UPI,Maharashtra,Cancelled,23,June
126,22,Saree LightSteelBlue,90,Medium,LightSteelBlue,276.45,Kids,Saree,721,2,cashondelivery,Manipur,Delivered,22,August
127,12,Saree Yellow,63,Small,Yellow,739.54,Men,Saree,453,3,netbanking,Uttar Pradesh,Delivered,18,June
128,15,T-Shirts MediumTurquoise,33,Large,MediumTurquoise,588.7,Men,T-Shirts,1137,1,cashondelivery,Andhra Pradesh,Cancelled,14,April
129,23,Pants DeepPink,12,Medium,DeepPink,431.39,Women,Pants,1489,3,netbanking,Bihar,Delivered,11,December
130,25,Western DarkSlateGray,63,Small,DarkSlateGray,319.91,Women,Western,911,3,cashondelivery,Madhya Pradesh,Cancelled,24,December
131,9,Casuals LightYellow,44,Large,LightYellow,409.31,Kids,Casuals,547,3,UPI,Meghalaya,Returned,15,November
132,8,Western Fuchsia,65,Large,Fuchsia,133.23,Kids,Western,1230,4,netbanking,Gujarat,Cancelled,4,July
133,10,Western LightGray,100,Large,LightGray,442.77,Women,Western,914,4,cashondelivery,Chhattisgarh,Cancelled,11,January
134,9,Saree Pink,94,Small,Pink,108.95,Kids,Saree,669,3,UPI,Odisha,Returned,15,June
135,8,Jeans OliveDrab,97,Small,OliveDrab,288.44,Kids,Jeans,1189,3,UPI,Karnataka,Returned,6,February
136,14,Trousers MediumVioletRed,44,Medium,MediumVioletRed,965.74,Kids,Trousers,225,2,UPI,Tripura,Delivered,23,June
137,15,Pants Chartreuse,28,Medium,Chartreuse,460.08,Women,Pants,397,4,cashondelivery,Karnataka,Returned,30,May
138,16,Formals MediumOrchid,17,Medium,MediumOrchid,85.37,Kids,Formals,748,4,UPI,Haryana,Delivered,7,August
139,23,Tops Brown,79,Large,Brown,170.67,Men,Tops,200,3,UPI,Mizoram,Delivered,16,January
140,1,Trousers AliceBlue,94,Small,AliceBlue,413.3,Men,Trousers,1428,3,UPI,Chhattisgarh,Cancelled,6,July
141,3,Pants MidnightBlue,31,Small,MidnightBlue,963.46,Kids,Pants,1138,4,netbanking,Jharkhand,Returned,14,November
142,23,Shirts DarkGray,7,Large,DarkGray,50.95,Men,Shirts,177,1,UPI,Bihar,Cancelled,12,June
143,26,T-Shirts Lime,4,Small,Lime,304.26,Men,T-Shirts,400,2,UPI,Meghalaya,Delivered,10,January
144,14,Casuals DeepPink,97,Medium,DeepPink,390.56,Men,Casuals,540,3,cashondelivery,Jharkhand,Delivered,13,May
145,13,T-Shirts Wheat,53,Small,Wheat,557.71,Men,T-Shirts,61,2,cashondelivery,Uttarakhand,Returned,5,August
146,18,Jeans DarkViolet,71,Medium,DarkViolet,603.38,Men,Jeans,350,1,UPI,Mizoram,Returned,27,October
147,30,Pants CadetBlue,57,Large,CadetBlue,992.1,Women,Pants,483,3,UPI,Uttar Pradesh,Delivered,29,March
148,23,Ethnic SlateGray,93,Small,SlateGray,559.16,Men,Ethnic,1039,2,UPI,Kerala,Delivered,11,January
149,27,Ethnic DeepPink,84,Small,DeepPink,103.75,Kids,Ethnic,1147,2,cashondelivery,Haryana,Returned,8,January
150,28,Shirts LightGoldenRodYellow,69,Large,LightGoldenRodYellow,599.94,Men,Shirts,968,3,UPI,Sikkim,Delivered,30,July
151,21,Western DarkSeaGreen,97,Small,DarkSeaGreen,104.89,Men,Western,678,1,netbanking,Madhya Pradesh,Returned,19,May
152,15,Jeans Gray,91,Medium,Gray,516.57,Kids,Jeans,648,2,netbanking,Mizoram,Cancelled,15,March
153,9,Casuals LightGoldenRodYellow,78,Medium,LightGoldenRodYellow,802.39,Women,Casuals,115,1,netbanking,Goa,Delivered,9,November
154,5,Western Gold,34,Medium,Gold,492.58,Kids,Western,498,1,cashondelivery,Uttar Pradesh,Delivered,16,January
155,12,Saree Lime,12,Medium,Lime,966.15,Men,Saree,1421,1,netbanking,Bihar,Cancelled,1,May
156,16,Formals DarkSalmon,66,Small,DarkSalmon,917.83,Kids,Formals,1375,3,netbanking,Telangana,Delivered,21,February
157,9,Ethnic Yellow,21,Small,Yellow,216.19,Kids,Ethnic,302,1,UPI,Meghalaya,Returned,29,December
158,24,Saree DarkMagenta,95,Small,DarkMagenta,291.39,Women,Saree,110,3,netbanking,Assam,Delivered,27,October
159,7,Jeans FloralWhite,47,Large,FloralWhite,504.37,Women,Jeans,293,2,cashondelivery,Uttar Pradesh,Cancelled,18,April
160,14,Formals Turquoise,46,Large,Turquoise,861.67,Kids,Formals,925,1,UPI,Uttarakhand,Returned,2,April
161,22,Tops Olive,24,Small,Olive,471.09,Men,Tops,1095,3,netbanking,Meghalaya,Delivered,15,November
162,14,Trousers DarkMagenta,76,Medium,DarkMagenta,407.97,Men,Trousers,464,1,cashondelivery,Tamil Nadu,Delivered,3,February
163,10,Pants Teal,10,Small,Teal,100.78,Kids,Pants,1477,4,netbanking,Tamil Nadu,Cancelled,17,December
164,9,Western Azure,29,Large,Azure,25.44,Men,Western,252,3,netbanking,Telangana,Delivered,23,August
165,3,Casuals Aquamarine,44,Small,Aquamarine,763.7,Kids,Casuals,481,1,UPI,West Bengal,Returned,19,October
166,14,T-Shirts LightSlateGray,18,Medium,LightSlateGray,290.31,Kids,T-Shirts,1365,3,cashondelivery,West Bengal,Delivered,8,April
167,1,Saree Magenta,63,Large,Magenta,539.49,Kids,Saree,47,4,netbanking,Chhattisgarh,Delivered,7,February
168,6,Saree Silver,61,Large,Silver,774.96,Men,Saree,227,1,cashondelivery,Andhra Pradesh,Cancelled,16,July
169,22,Tops DarkOrange,46,Small,DarkOrange,614.62,Women,Tops,1345,3,UPI,Telangana,Cancelled,25,March
170,14,Jeans LightCoral,23,Medium,LightCoral,929.17,Women,Jeans,833,3,netbanking,Jharkhand,Delivered,3,May
171,29,T-Shirts PapayaWhip,8,Medium,PapayaWhip,847.96,Kids,T-Shirts,649,1,netbanking,Kerala,Returned,11,November
172,2,T-Shirts SkyBlue,73,Medium,SkyBlue,467.53,Kids,T-Shirts,1255,3,cashondelivery,Manipur,Returned,9,June
173,5,Trousers MediumSpringGreen,67,Small,MediumSpringGreen,242.1,Kids,Trousers,277,4,cashondelivery,Tamil Nadu,Returned,27,May
174,29,Jeans SpringGreen,82,Medium,SpringGreen,335.54,Men,Jeans,1266,3,UPI,Uttarakhand,Delivered,1,September
175,1,Shirts HoneyDew,50,Small,HoneyDew,175.58,Women,Shirts,1287,3,UPI,Goa,Cancelled,11,February
176,16,Tops Green,9,Medium,Green,91.66,Kids,Tops,1430,4,cashondelivery,Madhya Pradesh,Delivered,13,August
177,27,Saree YellowGreen,94,Medium,YellowGreen,423.45,Kids,Saree,1019,3,cashondelivery,Madhya Pradesh,Returned,9,June
178,14,Casuals MintCream,38,Small,MintCream,145.54,Kids,Casuals,1151,1,UPI,Arunachal Pradesh,Cancelled,12,November
179,26,Jeans Black,17,Large,Black,90.38,Kids,Jeans,279,2,netbanking,Andhra Pradesh,Cancelled,5,June
180,28,Casuals MintCream,34,Small,MintCream,825.23,Kids,Casuals,555,3,UPI,Sikkim,Delivered,5,February
181,21,Jeans DarkSeaGreen,21,Medium,DarkSeaGreen,213.95,Women,Jeans,385,3,netbanking,Karnataka,Cancelled,16,July
182,25,Saree Blue,50,Large,Blue,13.41,Kids,Saree,1258,4,UPI,Assam,Delivered,9,January
183,14,Tops GreenYellow,47,Medium,GreenYellow,568.93,Kids,Tops,937,1,cashondelivery,Kerala,Delivered,16,January
184,21,Trousers PaleGreen,9,Small,PaleGreen,469.63,Kids,Trousers,601,2,cashondelivery,Rajasthan,Cancelled,5,October
185,15,Jeans DarkCyan,68,Large,DarkCyan,633.55,Men,Jeans,965,3,UPI,Jharkhand,Returned,24,April
186,25,Jeans DarkOliveGreen,60,Medium,DarkOliveGreen,867.82,Kids,Jeans,1129,4,UPI,Assam,Delivered,14,October
187,18,Tops Coral,71,Large,Coral,124.35,Men,Tops,970,2,UPI,Uttarakhand,Delivered,24,October
188,27,Jeans Gainsboro,2,Large,Gainsboro,339.3,Women,Jeans,1111,2,netbanking,Rajasthan,Cancelled,21,March
189,11,Western GhostWhite,94,Large,GhostWhite,987.57,Men,Western,1140,3,netbanking,Rajasthan,Cancelled,16,September
190,17,Saree Plum,44,Medium,Plum,953.84,Women,Saree,240,4,UPI,Bihar,Returned,22,January
191,27,Ethnic DarkOrange,99,Large,DarkOrange,774.17,Women,Ethnic,1106,2,netbanking,Goa,Cancelled,19,December
192,23,Saree LightGoldenRodYellow,1,Medium,LightGoldenRodYellow,729.76,Men,Saree,671,4,netbanking,Meghalaya,Delivered,18,November
193,2,Western Cornsilk,93,Large,Cornsilk,52.95,Kids,Western,263,1,UPI,Chhattisgarh,Delivered,4,August
194,6,Tops Turquoise,33,Medium,Turquoise,950.48,Kids,Tops,428,3,cashondelivery,Goa,Delivered,5,November
195,6,Jeans BlanchedAlmond,48,Small,BlanchedAlmond,133.84,Kids,Jeans,1398,2,UPI,Rajasthan,Cancelled,21,February
196,5,Tops BlueViolet,64,Small,BlueViolet,888.52,Women,Tops,852,1,UPI,Uttar Pradesh,Delivered,4,March
197,8,Trousers Sienna,82,Medium,Sienna,721.33,Women,Trousers,303,2,UPI,Haryana,Cancelled,29,June
198,8,Western MediumBlue,63,Medium,MediumBlue,519.24,Men,Western,654,4,cashondelivery,Sikkim,Cancelled,24,June
199,5,Western Purple,36,Small,Purple,704.0,Women,Western,952,1,netbanking,Maharashtra,Delivered,9,May
200,22,Formals LightSalmon,34,Large,LightSalmon,469.51,Men,Formals,1122,3,cashondelivery,Arunachal Pradesh,Cancelled,28,July
201,1,Formals Tan,95,Medium,Tan,544.17,Men,Formals,971,4,netbanking,Karnataka,Delivered,25,November
202,28,Saree ForestGreen,22,Large,ForestGreen,577.64,Kids,Saree,525,1,netbanking,Arunachal Pradesh,Returned,18,October
203,28,Shirts DarkMagenta,100,Large,DarkMagenta,151.13,Men,Shirts,997,4,netbanking,Assam,Cancelled,18,June
204,24,T-Shirts Aqua,13,Medium,Aqua,285.37,Men,T-Shirts,840,1,UPI,Mizoram,Cancelled,7,April
205,16,Ethnic LightSeaGreen,21,Medium,LightSeaGreen,927.06,Men,Ethnic,1199,4,netbanking,Andhra Pradesh,Delivered,12,January
206,24,Ethnic PaleGreen,27,Medium,PaleGreen,70.5,Men,Ethnic,126,1,cashondelivery,Andhra Pradesh,Delivered,11,May
207,11,Shirts DarkTurquoise,95,Large,DarkTurquoise,595.55,Men,Shirts,1125,3,netbanking,Bihar,Returned,2,July
208,13,Trousers Magenta,53,Medium,Magenta,899.72,Men,Trousers,1455,2,cashondelivery,Punjab,Returned,28,November
209,10,Tops DarkBlue,71,Medium,DarkBlue,820.0,Men,Tops,118,2,UPI,Meghalaya,Returned,15,September
210,4,Saree Blue,86,Small,Blue,545.54,Kids,Saree,655,4,UPI,Telangana,Cancelled,9,July
211,25,Casuals Thistle,86,Small,Thistle,845.23,Men,Casuals,1336,2,UPI,Goa,Returned,3,April
212,7,Western Brown,9,Large,Brown,766.35,Men,Western,410,4,UPI,Maharashtra,Delivered,2,February
213,1,Trousers MediumSpringGreen,65,Medium,MediumSpringGreen,565.94,Kids,Trousers,1361,4,UPI,Meghalaya,Delivered,30,January
214,3,Saree DarkRed,94,Large,DarkRed,841.28,Men,Saree,650,3,UPI,Mizoram,Delivered,5,April
215,28,Casuals MidnightBlue,12,Large,MidnightBlue,526.32,Kids,Casuals,709,2,cashondelivery,Sikkim,Delivered,16,May
216,30,Formals Orchid,40,Small,Orchid,209.35,Women,Formals,352,1,cashondelivery,Maharashtra,Cancelled,18,April
217,18,Formals DarkSalmon,50,Large,DarkSalmon,863.98,Kids,Formals,1398,4,UPI,Telangana,Returned,23,May
218,24,T-Shirts LightCoral,93,Medium,LightCoral,731.29,Men,T-Shirts,953,1,netbanking,Uttarakhand,Cancelled,3,August
